index,x,y
0,489,937
1,489,917
2,489,897
3,489,877
4,489,857
5,489,837
6,469,937
7,509,937
8,469,917
9,509,917
10,469,897
11,509,897
12,469,877
13,509,877
14,469,857
15,509,857
16,469,837
17,509,837
18,449,937
19,529,937
20,449,917
21,529,917
22,449,897
23,529,897
24,449,877
25,529,877
26,449,857
27,529,857
28,449,837
29,529,837
30,429,937
31,549,937
32,429,917
33,549,917
34,429,897
35,549,897
36,429,877
37,549,877
38,429,857
39,549,857
40,429,837
41,549,837
42,409,937
43,569,937
44,409,917
45,569,917
46,409,897
47,569,897
48,409,877
49,569,877
50,409,857
51,569,857
52,409,837
53,569,837
54,389,937
55,589,937
56,389,917
57,589,917
58,389,897
59,589,897
60,389,877
61,589,877
62,389,857
63,589,857
64,389,837
65,589,837
66,369,937
67,609,937
68,369,917
69,609,917
70,369,897
71,609,897
72,369,877
73,609,877
74,369,857
75,609,857
76,369,837
77,609,837
78,349,917
79,629,917
80,349,897
81,629,897
82,349,877
83,629,877
84,349,857
85,629,857
86,349,837
87,629,837
88,329,917
89,649,917
90,329,897
91,649,897
92,329,877
93,649,877
94,329,857
95,649,857
96,329,837
97,649,837
98,309,917
99,669,917
100,309,897
101,669,897
102,309,877
103,669,877
104,309,857
105,669,857
106,309,837
107,669,837
108,289,897
109,689,897
110,289,877
111,689,877
112,289,857
113,689,857
114,289,837
115,689,837
116,269,897
117,709,897
118,269,877
119,709,877
120,269,857
121,709,857
122,269,837
123,709,837
124,249,877
125,729,877
126,249,857
127,729,857
128,249,837
129,729,837
130,229,857
131,749,857
132,229,837
133,749,837
134,209,857
135,769,857
136,209,837
137,769,837
138,189,837
139,789,837